,Case Number,Date Report Signed,Link Text,URLs
669,20-PVI-119,23-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1004
670,20-PCI-118,08-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=945
671,20-OCD-117,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1439
672,20-OCI-115,17-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=913
673,20-OCI-114,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=998
674,20-PCD-113,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1093
675,20-OVI-112,16-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1000
676,20-OCI-111,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=990
677,20-OCI-110,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=937
678,20-OCD-108,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1061
679,20-TCI-107,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=988
680,20-PCI-106,18-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1045
681,20-OCI-105,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=871
682,20-OCD-103,02-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=929
683,20-OCI-102,21-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=952
684,20-OFI-100,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1103
685,20-TFD-098,09-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1067
686,20-OVI-096,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1352
687,20-OCI-094,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=887
688,20-OCI-093,05-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=904
689,20-PCD-092,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=771
690,20-TCI-090,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=902
691,20-TCD-089,01-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1079
692,20-PVI-088,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=843
693,20-TFI-087,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1065
694,20-TCI-086,08-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=927
695,20-TVI-084,18-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1140
696,20-TVI-082,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1302
697,20-OCI-081,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=793
698,20-PVI-080,17-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=911
699,20-OCI-079,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=867
700,20-PFD-078,18-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1049
701,20-OFD-075,03-Dec-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1010
702,20-PVI-074,13-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=968
703,20-PVI-072,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=947
704,20-TCI-070,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=873
705,20-PCI-068,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=877
706,20-OCI-067,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=853
707,20-PCI-066,22-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=845
708,20-OCD-065,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=753
709,20-OCI-064,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=885
710,20-TCD-063,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1095
711,20-OCI-059,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=950
712,20-OVI-057,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1097
713,20-PCD-055,31-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=896
714,20-OCI-050,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=795
715,20-OCD-047,21-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=960
716,20-OCI-046,10-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=906
717,20-OCI-045,24-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=921
718,20-OVI-044,06-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=855
719,20-PCI-042,21-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=941
720,20-OCI-041,17-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=917
721,20-OCI-039,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=801
722,20-OCI-038,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=881
723,20-PCI-037,10-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=909
724,20-PCD-035,18-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1039
725,20-PCI-034,23-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=879
726,20-TCI-024,05-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=996
727,20-OCI-022,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=799
728,20-TCI-021,15-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=824
729,20-OCI-018,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=789
730,20-OCI-017,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=785
731,20-TCI-015,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=822
732,20-OFI-012,06-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=861
733,20-OVI-011,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=863
734,20-OCI-010,12-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=900
735,20-TFD-008,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1008
736,20-OFD-005,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1025
737,20-PCI-004,28-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=745
738,20-OCI-003,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=820
739,20-OCI-001,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=875
740,19-OVD-314,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=779
741,19-OFD-313,10-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=898
742,19-OCI-312,06-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=849
743,19-OCI-311,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=837
744,19-PCI-308,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=767
745,19-OCI-307,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=781
746,19-OCI-305,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=755
747,19-TVI-304,18-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=841
748,19-PFI-302,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=807
749,19-TFI-300,22-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=847
750,19-TCI-298,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=811
751,19-OCI-296,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=935
752,19-OVI-295,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=883
753,19-OCI-294,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=797
754,19-PFD-293,23-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1006
755,19-OCI-292,28-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=737
756,19-OCI-289,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=869
757,19-OFI-286,04-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1130
758,19-PVI-284,28-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=743
759,19-OCI-282,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=765
760,19-OCI-281,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=813
761,19-OCI-279,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=816
762,19-OCI-278,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=889
763,19-OCD-277,25-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1180
764,19-POD-275,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=751
765,19-OCI-273,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=833
766,19-OCI-272,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=763
767,19-TCI-271,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=851
768,19-OCI-268,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=805
769,19-PFD-267,27-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=735
770,19-OCI-265,14-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=865
771,19-TCI-261,27-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=733
772,19-OCD-259,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=715
773,19-TCI-258,28-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=741
774,19-OCI-256,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=723
775,19-TFI-254,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=679
776,19-OVI-250,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=769
777,19-OCI-249,27-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=729
778,19-OCI-248,28-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=739
779,19-PFI-247,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=759
780,19-PCI-244,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=719
781,19-TCI-242,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=721
782,19-OOD-240,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=791
783,19-OCI-238,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=761
784,19-PVI-237,09-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=662
785,19-PVI-236,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=717
786,19-OCI-235,01-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=835
787,19-PCI-234,10-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=915
788,19-TVI-231,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=711
789,19-OCI-230,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=749
790,19-PVD-229,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=695
791,19-TCI-226,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=809
792,19-PCI-224,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=652
793,19-OCI-223,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=648
794,19-OFD-222,05-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=775
795,19-OCI-221,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=828
796,19-OVI-220,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=757
797,19-OCD-219,16-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=994
798,19-OCI-217,20-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=713
799,19-OCD-213,27-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=731
800,19-OVI-211,18-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=588
801,19-TVI-210,21-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=725
802,19-TCI-209,20-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=773
803,19-OCD-206,19-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=783
804,19-OVI-205,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=707
805,19-PVI-203,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=703
806,19-OCI-202,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=697
807,19-PCI-200,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=650
808,19-OCI-199,25-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=787
809,19-TCI-198,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=803
810,19-OCI-197,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=584
811,19-OVD-196,06-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=693
812,19-OCI-195,06-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=687
813,19-OFI-193,09-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=610
814,19-PVI-190,06-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=681
815,19-TCI-189,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=674
816,19-TCI-187,15-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=818
817,19-OCI-186,04-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=747
818,19-OCI-185,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=700
819,19-TCI-184,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=685
820,19-OCD-183,12-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1271
821,19-OCI-181,05-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=632
822,19-OCI-179,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=666
823,19-OFI-177,27-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=727
824,19-PCI-174,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=705
825,19-OCI-171,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=709
826,19-OFD-170,08-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=826
827,19-OCD-169,13-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=966
828,19-PVI-167,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=672
829,19-PCI-166,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=664
830,19-OCI-163,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=670
831,19-OVD-161,23-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=668
832,19-OCI-160,10-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=640
833,19-OOD-158,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1203
834,19-TCI-156,06-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=857
835,19-PVI-155,02-Aug-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=405
836,19-PCI-152,09-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=614
837,19-TVI-150,16-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=618
838,19-OCI-149,16-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=624
839,19-TFD-147,09-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=660
840,19-OCI-146,11-May-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=777
841,19-OVI-145,16-Jun-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=839
842,19-TVD-144,09-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=616
843,19-TCI-139,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=654
844,19-PFD-134,06-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=691
845,19-OCI-130,03-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=604
846,19-PVI-129,10-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=646
847,19-PCD-128,31-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=923
848,19-OCI-127,09-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=608
849,19-OCI-126,10-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=642
850,19-TCI-125,03-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=606
851,19-OCD-120,09-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=612
852,19-OCI-117,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=656
853,19-OCI-115,25-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=602
854,19-PCD-112,18-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=658
855,19-OCI-111,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=582
856,19-OCI-110,18-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=594
857,19-PCI-107,16-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=622
858,19-OCI-102,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=469
859,19-PCI-101,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=580
860,19-OVI-100,17-Jul-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=379
861,19-TCD-098,25-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=600
862,19-PCD-097,04-Jun-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=344
863,19-OCI-094,25-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=596
864,19-OCI-089,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=574
865,19-OCI-088,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=572
866,19-OCD-087,25-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=598
867,19-OCI-084,18-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=592
868,19-OVI-083,14-Aug-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=413
869,19-OVI-081,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=578
870,19-PCI-078,07-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=644
871,19-OCI-075,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=570
872,19-OFI-074,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=676
873,19-TCI-073a,09-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=925
874,19-TCI-073,18-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=590
875,19-OCI-072,21-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=557
876,19-OCI-071,13-Jul-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=859
877,19-TFI-070,05-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=636
878,19-OCI-069,21-Jan-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=626
879,19-PVI-067,05-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=634
880,19-PCI-065,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=586
881,19-PCI-064,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=568
882,19-TCI-063,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=545
883,19-OCI-059,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=543
884,19-PCD-057,14-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=698
885,19-PVI-056,21-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=559
886,19-TCI-054,04-Jul-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=371
887,19-OCI-053,21-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=555
888,19-OCI-049,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=539
889,19-OCI-048,06-Apr-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=689
890,19-TCI-047,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=537
891,19-OCI-046,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=576
892,19-TCI-042,16-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=541
893,19-OCI-039,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=533
894,19-OCI-038,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=531
895,19-OCI-030,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=529
896,19-OFD-024,13-Feb-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=638
897,19-TFI-023,04-Nov-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=566
898,19-PCD-021,03-Apr-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=288
899,19-OCI-020,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=527
900,19-OCI-017,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=515
901,19-OVD-015,03-Apr-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=290
902,19-OVI-010,25-Jun-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=365
903,19-OCI-009,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=535
904,19-OCI-006,15-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=547
905,19-OCI-004,21-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=553
906,19-OCI-002,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=525
907,18-OCI-381,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=523
908,18-OVI-380,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=467
909,18-OCD-379,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=475
910,18-OCI-377,02-Jul-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=369
911,18-OCI-376,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=501
912,18-TVI-375,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=513
913,18-OCI-373,30-Mar-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=683
914,18-OCI-372,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=481
915,18-OFI-371,12-Jun-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=356
916,18-OCI-370,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=507
917,18-TCI-369,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=505
918,18-OCI-367,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=491
919,18-PVI-365,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=511
920,18-OCI-361,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=495
921,18-OCI-356,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=483
922,18-TCI-354,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=503
923,18-PCI-351,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=499
924,18-TCI-348,21-Jan-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=630
925,18-OCI-342,07-Oct-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=521
926,18-OCI-342 (rectificatif),03-Dec-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=620
927,18-OVI-340,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=489
928,18-TFI-338,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=485
929,18-PCI-337,13-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=461
930,18-OVI-336,28-Jun-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=367
931,18-TCI-334,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=509
932,18-OCI-333,23-Sep-19,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=497
