Case Number,Date Report Signed,Link Text,URLs
21-OVI-425,22-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1926
21-OCI-422,14-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1917
21-OCI-421,05-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2033
21-OFI-419,14-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1916
21-OCI-418,13-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1915
21-OFP-416,31-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1905
21-TOD-415,24-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2096
21-OCI-414,30-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1904
21-TVI-413,08-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1914
21-PCI-411,05-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1906
21-OCI-410,29-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1900
21-OCI-407,30-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1901
21-OCI-406,23-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1894
21-OCI-404,24-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1889
21-OFP-403,24-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1892
21-PFD-402,24-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1893
21-PVI-401,24-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1890
21-OFI-400,23-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1887
21-PVI-399,23-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1884
21-OCI-398,21-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1883
21-OVI-397,08-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1880
21-OCI-395,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1876
21-OFP-393,09-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1875
21-OCI-392,08-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1869
21-TFP-390,08-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1866
21-TCI-386,08-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1865
21-PCI-385,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1864
21-TCI-383,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1863
21-OCI-382,09-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1870
21-OCI-380,02-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1857
21-OVD-379,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1861
21-PVD-377,04-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1859
21-TCD-374,01-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1853
21-TFD-373,03-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1856
21-PCI-371,25-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1848
21-OCI-368,25-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1850
21-POD-365,25-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1847
21-OFD-363,13-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1996
21-OVI-361,23-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1845
21-TCI-359,18-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1841
21-OVI-358,18-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1842
21-OCI-352,16-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1839
21-OFP-351,16-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1836
21-OCI-350,14-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1832
21-OCI-349,14-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1834
21-TCI-346,11-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1830
21-TCD-344,10-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1829
21-PCI-343,17-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1950
21-TCD-341,07-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1821
21-TCD-340,04-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1814
21-OVI-339,04-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1813
21-OVI-336,03-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1809
21-OCD-335,01-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1805
21-OCD-332,28-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1796
21-OCI-331,28-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1793
21-OFP-330,27-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1790
21-TCI-329,28-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1795
21-PCI-327,27-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1791
21-OVD-326,27-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1789
21-PCI-324,26-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1786
21-PCI-322,25-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1783
21-OCI-321,25-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1784
21-OCI-320,21-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1778
21-TCI-318,21-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1779
21-OVI-317,20-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1777
21-OCI-316,20-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1776
21-PVI-314,19-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1774
21-OCI-313,17-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1771
21-OFI-311,17-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1772
21-OFI-308,14-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1769
21-OCD-306,12-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1767
21-TCI-305,10-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1764
21-OVI-304,11-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1765
21-OCD-296,05-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1759
21-OVI-295,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1727
21-PCI-294,31-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1753
21-OFI-293,04-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1758
21-TCI-291,29-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1747
21-PCI-290,29-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1746
21-TVD-289,30-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1751
21-OVI-286,29-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1748
21-OCI-285,24-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1740
21-PCI-281,29-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1690
21-OCI-280,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1731
21-OCI-278,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1661
21-OCI-277,23-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1735
21-OVI-276,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1729
21-OVI-274,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1728
21-OCI-271,29-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1717
21-TCI-268,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1662
21-OFI-263,17-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2006
21-OCI-262,15-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1724
21-PVI-261,14-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1723
21-OVI-258,12-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1597
21-PFD-257,10-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1721
21-TCI-256,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1663
21-OCI-255,10-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1719
21-OVD-248,03-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1706
21-PCI-247,03-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1705
21-OCI-246,03-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1704
21-OCI-245,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1664
21-PFD-244,23-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2095
21-OCI-242,01-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1689
21-TFP-241,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1666
21-OCI-240,29-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1684
21-TFP-239,29-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1683
21-OCI-238,25-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1678
21-OFI-232,25-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1674
21-OFP-231,24-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1665
21-TCI-230,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1658
21-OCI-229,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1641
21-OCD-228,17-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1655
21-POD-224,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1640
21-OCD-221,12-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1649
21-OFP-220,07-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1824
21-OCD-216,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1642
21-OCI-215,04-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1633
21-TCI-214,07-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1820
21-OFP-210,02-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1630
21-PVI-209,02-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1627
21-TCD-208,02-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1628
21-OCI-207,01-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1626
21-PCI-206,28-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1624
21-OCD-204,29-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1622
21-PVI-203,28-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1620
21-OVI-194,22-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1615
21-OCD-193,21-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1614
21-OFI-192,21-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1610
21-OCI-191,19-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1608
21-OCI-190,19-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1607
21-OCI-189,18-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1605
21-OCD-188,18-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1604
21-OCI-187,15-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1600
21-TCI-186,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1730
21-OCI-184,27-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1582
21-OCI-182,07-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1593
21-OFP-181,06-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1591
21-TCD-179,07-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1592
21-OSA-176,04-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1589
21-TCI-172,01-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1587
21-TFI-168,27-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1578
21-TFP-167,24-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1574
21-OVI-166,23-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1572
21-OCI-165,22-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1569
21-POD-164,22-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1566
21-OVD-163,21-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1565
21-OVI-162,17-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1560
21-TFD-161,17-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1559
21-OCI-159,16-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1557
21-TCD-157,15-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1554
21-OCI-153,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1541
21-TVI-152,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1543
21-OCI-151,09-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1546
21-OCI-148,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1540
21-OVI-146,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1542
21-PFP-142,01-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1535
21-OCI-139,16-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1508
21-OVI-136,25-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1526
21-OCI-135,21-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1407
21-OCI-134,23-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1520
21-PCI-132,07-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1988
21-OCI-131,20-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1518
21-OCI-129,19-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1516
21-PFP-126,17-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1513
21-OFP-124,13-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1505
21-OFP-123,13-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1502
21-OCI-121,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1636
21-OFP-120,13-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1504
21-PVI-119,06-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1494
21-TFI-118,11-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1499
21-OFP-116,06-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1489
21-TFP-115,04-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1486
21-OFP-113,03-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1483
21-PFP-112,03-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1482
21-OCD-110,05-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1488
21-OCI-109,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1645
21-PFD-107,06-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1707
21-OFP-105,03-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1481
21-OCD-104,31-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2120
21-TCD-103,28-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1472
21-OFI-102,29-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1477
21-PVD-100,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1438
21-OCI-099,28-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1471
21-OVI-097,28-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1470
21-OFP-096,26-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1465
21-TCD-095,23-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1463
21-OFI-092,20-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1460
21-PCD-091,15-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1454
21-OCD-090,16-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1455
21-OSA-088,13-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1446
21-TCI-087,15-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1452
21-OCI-086,15-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1451
21-OCI-085,15-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1450
21-OCI-084,14-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1448
21-OCI-082,13-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1442
21-OCI-080,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1435
21-TCI-079,09-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1432
21-TFP-076,07-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1431
21-PCI-075,07-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1430
21-OVI-074,05-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1425
21-TCI-071,28-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1411
21-OCI-069,28-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1410
21-PVD-064,24-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1406
21-OCI-062,05-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1426
21-PCI-061,14-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1390
21-TFD-059,22-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1401
21-OCI-058,22-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1400
21-OCI-057,17-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1395
21-OCD-056,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1354
21-PCI-054,17-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1394
21-PCI-053,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1347
21-OOD-052,03-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2072
21-OCI-049,09-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1440
21-TCI-048,11-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1388
21-TCI-045,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1304
21-OCD-044,10-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1385
21-OVD-042,10-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1384
21-OFD-040,04-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1380
21-OFP-039,04-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1379
21-OVI-038,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1358
21-TFI-037,03-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1377
21-OCD-036,08-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1648
21-OCD-035,31-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1371
21-OCI-033,28-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1370
21-OVI-029,25-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1363
21-OCI-028,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1216
21-OCD-027,25-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1965
21-OCI-026,11-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1356
21-OCI-025,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1343
21-TCI-024,20-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1360
21-OCD-023,20-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1922
21-TCI-022,14-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1351
21-OCI-020,12-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1345
21-TFI-019,13-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1346
21-OCD-018,25-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1152
21-TCI-015,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1336
21-PCI-014,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1263
21-PCI-013,04-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1327
21-PFP-012,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1325
21-OCI-011,04-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1324
21-TCI-010,05-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1323
21-OSA-009,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1233
21-OVI-008,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1318
21-OFD-007,22-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1734
21-OCD-005,22-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1280
21-OCI-004,29-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1301
21-OCI-003,12-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1284
21-TVD-002,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1291
21-TCI-001,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1250
20-OCI-361,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1164
20-OFI-360,22-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1277
20-OOD-355,13-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1265
20-OCI-354,01-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1244
20-OVI-352,14-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1243
20-OCI-351,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1107
20-OCI-350,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1184
20-OFP-349,29-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1214
20-OFP-348,13-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1232
20-TFP-347,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1225
20-TCI-344,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1223
20-OSA-342,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1211
20-PVI-340,03-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1200
20-OCI-338,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1197
20-TFI-336,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1195
20-OCI-335,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1198
20-OCI-334,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1182
20-PCI-329,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1269
20-OVI-328,30-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1531
20-PCD-326,30-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1530
