Year,Police Service,City,Province,Investigation Final Decision
2017,Ontario Provincial Police,Markstay-Warren,Ontario,"I further find that the collision was a direct result of the Complainant’s poor judgment and possibly his level of intoxication and that there is no causal connection between the actions of the SO and the subsequent collision. As such, I am satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,Toronto,Ontario,"In conclusion, I find on all of the credible evidence that no force other than the minimal amount required to bring the Complainant down from the fence and to handcuff him was used by either SO #2 or SO #1, and that there are no reasonable grounds upon which to believe that either police officer employed an excessive use of force against the Complainant, nor that they were the cause of his injuries and, as such, there is no evidence upon which to base a reasonable belief that a criminal offence was committed here."
2017,Ottawa Police Service,Ottawa,Ontario,"I find, therefore, on this record, that the shots that were fired, one of which struck and killed the Complainant, were justified pursuant to s.25(1) and (3) of the Criminal Code and that the SO, in preserving himself from death or grievous bodily harm from the Complainant, used no more force than was necessary to affect his lawful purpose. As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2017,Waterloo Regional Police Service,,Ontario,"In conclusion, on all of the evidence, there is no complaint regarding the actions of the SO and absolutely no evidence upon which I can find any reasonable grounds to believe that the SO did anything other than what was appropriate and pursuant to his duties. As such, there is no basis for the laying of criminal charges and none shall issue."
2017,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the disarming of the Complainant and his ultimate detention, and the manner in which they were carried out, were lawful notwithstanding the injuries which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ontario Provincial Police,Sioux Lookout,Ontario,"In the final analysis, in the absence of any concrete evidence, I am unable to determine when, by what mechanism, or at whose hands, if any, the Complainant sustained her injury and am thus unable to form reasonable grounds to believe that any officer who had contact with the Complainant on April 6th, 2017, was responsible for that injury. On the record before me, I am satisfied that the actions exercised by the three police officers who had direct contact with the Complainant fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Hamilton Police Service,Hamilton,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful and fully justified in the circumstances; that the actions of all of the officers who deployed their CEWSO were not only justified, but frankly admirable and extremely well considered and can likely be credited with saving the life of the Complainant either from being shot or from ending his own life by slashing his throat. The SO attended late to the interaction, he assessed the situation with fresh eyes, he considered his options and he did not panic, instead waiting until the Complainant was in the optimal position before deploying his CEW. I find it further notable that the actions of police were observed by a number of civilian witnesses, all of whom found them to be appropriate to the circumstances and not excessive. One witness, specifically, indicated he was surprised that WO #7 did not shoot the Complainant and was of the view that the Complainant was killing himself when he was slicing his neck. I am, therefore, satisfied on reasonable grounds on this record that there is no causal connection between the injuries suffered by the Complainant and the actions of police and that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ontario Provincial Police,North Perth,Ontario,"In the final analysis, despite the serious nature of the Complainant’s injury and the fact that it was undeniably caused during his interaction with police, I can find no evidence upon which to find reasonable grounds to believe that either officer resorted to an excessive use of force. On all of the evidence, it is clear that the Complainant would not have been injured had he chosen not to fight the police officers who were trying to arrest him and simply waited for his day in court, rather than struggling and resisting his arrest and causing the fall of all three of them to the ground, which led to his injury. On these facts, the evidence does not satisfy me that there are reasonable grounds to believe that a criminal offence was perpetrated here by either police officer and no charges shall issue."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, despite the tragic outcome for the Complainant, I am satisfied that the injuries were the result of her voluntarily and intentionally lowering herself into a tub of scalding water without any intervention by police, and that she was thereafter pinned down in the tub with the police shield in order to disarm her and without any knowledge that she had in fact submerged herself in boiling water. I also find that police, immediately upon discovering what the Complainant had done and as soon as she was disarmed, removed her from the tub in order to minimize her self-inflicted injuries. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,King,Ontario,"In sum, I find on this evidence that the driving of the SO, while involved in the pursuit and attempt to investigate the Ford, does not rise to the level of driving required to constitute “a marked departure from the norm” and even less so “a marked and substantial departure from the norm” and I am unable to establish that there was a causal connection between the actions of the pursuing officers and the motor vehicle collision that caused the Complainant’s injury. As such, I find that there is insufficient evidence to form reasonable grounds to believe that a criminal offence has been committed and no basis for proceeding with charges in this case."
2017,Toronto Police Service,,Ontario,"Additionally, I have considered the decision of the Ontario Court of Appeal in R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.), that officers are not expected to measure the degree of their responsive force to a nicety. On this record, it is clear that the force used by the SO and the other officers involved in the arrest of the Complainant and CW #1 fell within the range of what was reasonably necessary in the circumstances and was directly proportionate to the resistance and force being used by the Complainant and CW #1 to avoid their arrest. On this record, I am unable to find that I have reasonable grounds to believe that any police officer involved in the apprehension and arrest of the Complainant and CW #1 used any more force than was necessary in the circumstances and I therefore do not find that I have the reasonable grounds required for the laying of criminal charges, and none shall issue."
2017,Ontario Provincial Police,,Ontario,"In conclusion, although the utilization of a PSD is a use of force option, in this instance it appears that it was not purposefully used as such. I find that the SO did not engage the dog to attack the Complainant and that the dog simply responded to what it perceived as a dangerous situation. On this record, I am satisfied on reasonable grounds that the SO employed the PSD to track the Complainant and that when the dog, on his own initiative, probably because he was startled, latched onto the Complainant, the SO commanded him to release almost immediately. Furthermore, I find that the injury caused by the dog was not the result of criminal negligence on the part of the SO as the Complainant’s popping out of the undergrowth and the dog’s reaction were totally unforeseeable and that, once the dog engaged, the SO acted immediately to release the dog’s grip. In all, the evidence indicates that the service dog latched onto the Complainant’s head for approximately two seconds and did not bite again after the initial “grip and hold.” On that basis, I am unable to find the actions of the SO either constituted “a marked and substantial departure from the standard of a reasonable person in the circumstances” or that he showed “a reckless disregard for the lives and safety of others”. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges."
2017,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he may have suffered, the evidence of which is inconclusive. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,,Whitby,Ontario,"On this record, I find that the evidence of the SO’s driving does not rise to the level required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the collision and consequent injuries to the Complainant. While it may be that the SO only abandoned his police pursuit because he was directed to do so by WO #4 and that he then completely lost sight of CW #4 when he accelerated away from him, CW #4 was only able to do so because the SO put public safety ahead of his desire to apprehend CW #4. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the HTA and the OPSA, but he behaved at all times professionally, prudently and with good common sense. I cannot find any criticism of the SO’s actions and, as such, find that there is no basis here for the laying of criminal charges."
2017,Waterloo Regional Police Service,,Ontario,"It is clear, on a review of all of the evidence, that the Complainant, possibly due to his paranoid state, felt compelled to take his own life. We cannot know what the Complainant’s intentions were when he told CW #1 to run for her life and barricaded himself in his home, but the senior officers tasked with commanding a team of police officers to bring this incident to an end could not take a risk that the Complainant may have accessed his firearms and either wanted to engage police in a fire fight or end the lives of others when he ended his own. It is clear that the Complainant took his own life without any intervention by police. It would be speculative to assume, had police acted with less caution and more quickly, that his life could have been saved at the risk of the loss of other human life. In fact, it is unclear as to when exactly the Complainant took his own life, but the presence of lividity and rigor mortis certainly points to the possibility that the Complainant ended his life either before the police had ever even come on the scene, or shortly thereafter. The SO, who was tasked with this incident, followed all procedures as set out in the WRPS Crisis Negotiation, Emergency Response and Hostage Rescue and Major Incident Command policy guidelines and attempted to apprehend the Complainant under the MHA with the least amount of force necessary while simultaneously ensuring the safety of all involved. In all, 27 police officers were deployed to attempt to safely apprehend the Complainant. Despite the tragic loss of life, no police officer at any point was ever successful in either making verbal or physical contact with the Complainant and they cannot be held responsible for his actions in fulfilling his intention to end his own life. As such, there are no reasonable grounds here for the laying of criminal charges."
2017,Peel Regional Police,Mississauga,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention, and the manner in which it was carried out, were lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,Oshawa,Ontario,"In the final analysis, on all of the evidence, while I accept that the Complainant most likely injured his face when he forcefully struck the steering wheel in his car, it is also possible that he was injured when he was forcefully taken to the ground while trying to escape and was dragging SO #1 with his car. In either scenario, however, I am satisfied for the foregoing reasons that the Complainant’s detention, and the manner in which it was carried out, were lawful notwithstanding the injury which he suffered, even were I to find that the officers caused the injury, which I am hesitant to do on this evidence. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,King,Ontario,"I find on this evidence that the driving of the SO, though certainly not advisable, does not rise to the level of driving required to constitute “a marked departure from the norm” and even less so “a marked and substantial departure from the norm” and I am unable to establish that there was a causal connection between the actions of the SO and the motor vehicle collision that caused the Complainant’s injuries. As such, I find that there is insufficient evidence to form reasonable grounds to believe that a criminal offence has been committed and no basis for proceeding with charges in this case."
2017,Waterloo Regional Police Service,Ottawa,Ontario,"On the evidence before me, I find that the SO was dealing with a very angry, combative, irrational and intoxicated male who had already tried to physically pull the SO out of his cruiser, had disarmed him of his less lethal use of force option, pointed it at him, and had forced him to take cover behind his cruiser. On this record, I find that the SO’s resort to the use of his firearm was justified in these circumstances and that I have no reasonable grounds to believe that the SO committed any criminal offence and no charges will issue."
2017,London Police Service,London,Ontario,"In the Director’s report dated January 16, 2018, reference is made to SO #1 driving over the spike belt. In, fact, she only drove over the rope from the spike belt, the belt itself not having been fully deployed, as is indicated in the report. Furthermore, while she immediately thereafter pulled over to the side of the road, there is no evidence that she did so because she drove over the rope of the spike belt."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I find no grounds, reasonable or otherwise, upon which to find any bases for any criminal conduct by any of the three police officers who attended at the apartment to try to save the life of the Complainant. Despite the tragic loss of life, the officers tasked with this incident followed all procedures as set out in their policy guidelines and cannot be held responsible for the Complainant’s actions in fulfilling his intention to end his own life. As such, there are no reasonable grounds here for the laying of criminal charges."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s injuries were unintentional and not as a result of an excessive use of force by either WO #2 or the SO, but the result of an unfortunate accident occurring during an unpredictable and difficult situation. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,London Police Service,,Ontario,"In the final analysis, I conclude based on this record that there is no evidentiary basis for a finding of excessive force by SO #1 or SO #2. The officers intervened quickly and quite properly to prevent a potentially extremely dangerous situation which resulted, unfortunately, in the Complainant’s serious injury. Consequently, I am satisfied that the actions of the involved officers fell well within the limits prescribed by the criminal law. As a result, no charges will issue and this case will be closed."
2017,Waterloo Regional Police Service,Waterloo,Ontario,"As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by both the SO and WO #1 fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding the injury which she suffered, even were I to find that the officers caused the injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,London Police Service,London,Ontario,"In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the HTA and the Ontario Police Services Act, but he behaved at all times professionally, prudently and with good common sense. I cannot find any criticism whatsoever of the SO’s actions but rather I would commend him for his calm and level headed approach to CW #6’s behaviour, and as such, find that there is no basis here for the laying of criminal charges."
2017,Toronto Police Service,,Ontario,"On a review of all of the evidence, I find that the Complainant’s injuries were caused by his own actions without any involvement by the police. All of the police officers who responded to CW #6’s 911 call indicating that the Complainant was attempting to throw CW #3 from the fourth floor balcony were lawfully carrying out their duties as required when they attended and attempted, if possible, to prevent any injury to either of CW #3 or the Complainant from occurring. At no time did any officer have any physical contact with the Complainant and any verbal interaction, according to all civilian witnesses present, was of the nature to discourage the Complainant from jumping and to encourage him to go back inside his apartment. None of the communications between the Complainant and police as overheard by witnesses could in any way have been seen to initiate the actions of the Complainant. Although the intentions of the Complainant, in climbing over the balcony railing, are unknown, it is clear that he fell or jumped as a result of his own actions without any assistance or encouragement from any of the police officers present. The actions of the Complainant were described by all present as being voluntary and without any obvious provocation. We will, of course, never know what was going on in the Complainant’s mind that would lead him to take the action that he did, but there can be no doubt that no fault lies with any of the police officers responding, who were merely carrying out their duties as they are required to do. It is notable that at no time were any allegations made against these officers by anyone, with respect to any inappropriate actions on their part, and I am satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Stratford Police Service,Stratford,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding any injury which he may have suffered, even were I to find that the SO caused the injury, which I am not inclined to do. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ontario Provincial Police,Sioux Lookout,Ontario,"In conclusion, on all of the available evidence, I am unable to find that there are any reasonable grounds to believe that a criminal offence was committed by any police officer in this instance and no charges will issue."
2017,St. Thomas Police Service,,Ontario,"In the final analysis, while the injury to the Complainant was unfortunate, I am satisfied that it was not the result intended by the SO, but rather was an unfortunate result of the resistance and struggling of the Complainant. On these facts, I am satisfied that there are reasonable grounds to believe that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Peel Regional Police,Brampton,Ontario,"On all of the evidence, and as is clearly confirmed by the BT CCTV video, as well as the statements of all three of the civilian witnesses, both Complainant #1 and the SO were the victims of an unfortunate motor vehicle collision directly caused by the failure of the driver of the unidentified SUV to yield the right of way to Complainant #2, forcing Complainant #2 to take split second evasive action, which resulted in his striking both Complainant #1’s Toyota and the SO’s police cruiser. There is no question that no fault whatsoever lies with either of Complainant #1 or the SO and there are no reasonable grounds to believe that any actions on the part of the SO contributed in any way to the collision or the subsequent injuries sustained by both Complainant #1 and Complainant #2. As such, there is no basis on this evidence to consider any criminal charges again the SO and none will issue."
2017,Toronto Police Service,,Ontario,"I find on this evidence that the driving of the SO in his pursuit and attempt to apprehend the Complainant does not rise to the level of driving required to constitute “a marked departure from the norm” and even less so “a marked and substantial departure from the norm” and I am unable to establish that there was a causal connection between the actions of the pursuing officers and the motor vehicle collision that caused the Complainant’s injury. As such, although the SO was clearly in breach of the regulations requiring him to immediately notify the Communications Operator of the vehicle’s failure to stop and keep them informed, and for failing to have his siren continually activated during the pursuit, I find that there is insufficient evidence to form reasonable grounds to believe that a criminal offence has been committed and no basis for proceeding with charges in this case."
2017,Windsor Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding the injuries which he suffered, which were found not only to have been self-inflicted but to have occurred prior to any interaction with police. Furthermore, I have no hesitation in finding on this record that the actions exercised by the officers not only fell within the limits prescribed by the criminal law, but that the officers exhibited good judgment, patience and professionalism throughout and their actions were critical in bringing this matter to a successful conclusion. I also find that the actions of all of the responding officers were in compliance with police policies and best practices with respect to the treatment of persons in mental health crises and were commendable. As such, there is absolutely no basis for the laying of criminal charges here and no charges will issue."
2017,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the actions of SO #1 and SO #2 in removing the Complainant’s hold on SO #1’s firearm, and the manner in which they did so, were lawful notwithstanding the injuries which the Complainant suffered. I believe it is fortunate that the firearm did not accidentally discharge and that the Complainant was not shot as he held onto the barrel of SO #1’s firearm and struggled with him over the control of his rifle. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by SO #1 and SO #2 fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,London Police Service,,Ontario,"In conclusion, while I believe that the Complainant likely suffered a fracture to his left wrist during his encounter with the police officers on January 17, 2017, I am satisfied that the Complainant was lawfully under arrest and that the force used by the involved officers during the encounter fell within the limits prescribed by the criminal law. I therefore have no reasonable grounds to believe a criminal offence was committed. Accordingly, no charges will issue and this case will be closed."
2017,Toronto Police Service,,Ontario,"I find on this evidence that the driving of the SO while following the Camry does not rise to the level of driving required to constitute “a marked departure from the norm” and even less so “a marked and substantial departure from the norm” and I find that there is no causal connection between the actions of the SO and the motor vehicle collision that caused the Complainant’s injuries. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the HTA, the TPS Policy on Suspect Apprehension Pursuits and the Ontario Police Services Actfootnote 2[2], but he behaved at all times professionally, prudently and with good common sense and, as such, I find that there is absolutely no basis here for the laying of criminal charges."
2017,Niagara Regional Police Service,,Ontario,"The totality of the evidence leads me to the conclusion that both the SO and WO #1 were justified in the amount of force they applied to subdue the Complainant, given his resistance and their lawful authority to arrest him. I have significant concerns with the reliability of the Complainant’s statement and find that there was nothing in the conduct of the SO that would attract criminal liability. Accordingly, I cannot form reasonable grounds to believe that a criminal offence was committed in this case and therefore, no charges will issue."
2017,Toronto Police Service,,Ontario,"As indicated earlier, I find that it was the combination of the Complainant’s pulling away, combined with the SO’s reaction in releasing his arm, which increased the momentum of the Complainant’s resistance, causing him to fall to the floor. The jurisprudence is clear, officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206). As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and I do not have reasonable grounds to believe that he committed a criminal offence and no charges will issue."
2017,Peel Regional Police,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officer fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,,Ontario,"On all of the evidence, it is clear that I have reasonable grounds to believe that the SO, immediately prior to the collision between his car door and the bicycle and person of the Complainant, did not take the necessary precautions when he opened his door into bicycle traffic and thereby caused the injuries to the Complainant. At most, however, it can be said that the SO showed a momentary lack of attention or he was careless in opening his door without first ensuring that the way was clear and that he therein contravened the provisions of s.165 of the HTA. Generally, where a HTA offence completely encompasses the actions complained of, the actions will not generally attract Criminal Code sanctions without something more; either a combination of one or more infractions of the HTA, or actions so egregious that they go beyond the HTA into the realm of criminal sanctions. In this case, there is no evidence that the SO’s actions were such that they would constitute “a marked and substantial departure from the norm” nor is there any evidence that he exhibited “a reckless disregard for the lives and safety of others”. As indicated above, a breach of the HTA does not, in and of itself, rise to the level required to make out a criminal offence without something more, and while the SO may have been responsible for the collision and the Complainant’s subsequent serious injuries, I cannot find reasonable grounds to believe that any criminal offence was committed here. With respect to a charge under the HTA, that is not within my mandate and I will leave that to the Chief of the Toronto Police Service to pursue such a charge if he deems it appropriate."
2017,Waterloo Regional Police Service,Kitchener,Ontario,"On this record, I find that the evidence of the SO’s driving does not rise to the level required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the collision and consequent injuries caused by CW #14. While it may be that the SO only abandoned his police pursuit because CW #14 accelerated away from him and was lost from sight, CW #14 was only able to do so because the SO put public safety ahead of his desire to apprehend CW #14. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the Highway Traffic Act and the Ontario Police Services Act, but he behaved at all times professionally, prudently and with good common sense and, as such, I find that there is no basis here for the laying of criminal charges."
2017,Windsor Police Service,Windsor,Ontario,"I therefore find that there is no basis on this evidence to believe, on reasonable grounds, that any of the police officers who interacted with the Complainant on September 4th, 2017, resorted to any unjustified or excessive force in dealing with her, nor is there any evidence that their actions in any way contributed to her death and there are therefore no grounds for the laying of criminal charges and none will issue."
2017,,Durham,Ontario,"On this record, there is no causal connection between the actions of the SO and the tragic death of the Complainant, nor is there any basis for the laying of criminal charges."
2017,Kingston Police,King,Ontario,"It is clear that the Complainant took his own life without any intervention by the police. It is confirmed, both by the throw phone video and the three independent witnesses, that no police officer entered the Complainant’s home, nor were any firearms discharged by police officers, prior to the fatal gunshot by the Complainant’s own hand. It would be speculative to assume, had police officers acted with less caution and more quickly, that his life could have been saved at the risk of the loss of other human life, but it was ultimately the Complainant who decided that he should end his own life rather than be arrested and taken to jail. Despite the tragic loss of life, the police officers tasked with this incident followed all procedures as set out in their policy guidelines and cannot be held responsible for the Complainant’s actions in fulfilling his intention to end his own life. As such, there are no reasonable grounds here for the laying of criminal charges."
2017,York Regional Police,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Peterborough Police Service,Horton,Ontario,"On a review of all of the evidence, it is clear that no police officer was involved in the Complainant’s fall and his subsequent injuries. The SO, WO #1 and WO #3 were carrying out their duties as required in searching for and speaking with the Complainant and CW #1, in order to further their investigation, when the Complainant fell and was seriously injured. On a review of the record, I can find no evidence to indicate that the Complainant’s fall was anything other than an unfortunate accident possibly brought about by his own significant state of impairment and there are no reasonable grounds to find that any criminal offence has been committed."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the actions of the TPS officers in subduing the Complainant in the interview room and lodging him in the cell thereafter were lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,Toronto,Ontario,"As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2016,York Regional Police,,Ontario,"In the final analysis, I am satisfied on this record that the SO and WO #1 were acting lawfully when they first attempted to stop the Audi to investigate a number of obvious HTA infractions and that their conduct thereafter fell within the limits of care prescribed by the criminal law. They not only fully followed the letter of the law with respect to Suspect Apprehension Pursuits, but they also scrupulously followed the intent of the legislation. Accordingly, there are no grounds for proceeding with charges against these police officers."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and arrest and the manner in which they were carried out were lawful notwithstanding the injury which she suffered. I also find that in making the conscious decision to flee from police, rather than stop when directed by them to do so, the Complainant brought about the series of events which caused the SO to have to chase her in an attempt to stop her, which ultimately led to her injury. Had she chosen to stop when directed, her unfortunate injury would surely have been avoided. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Peel Regional Police,,Ontario,"Before closing, however, I would strongly recommend to the Chief of the Peel Regional Police that both of these police officers receive additional training and are counseled with respect to dealing with these types of situations and would hope that in future, rather than putting a lone police officer at great risk by sending him into a dark and confined area with a possibly violent offender, they will choose to call for back up and possibly have the Emergency Task Force attend to deal with the situation, as they are more than adequately trained and equipped to do."
2016,,Hamilton,Ontario,"It is my opinion that the SO was not involved in a police pursuit. At no point did the SO signal to the Complainant to stop his motorcycle prior to the collision after which the emergency lights of the police cruiser were activated. Nor did the SO at any point engage in the sort of aggressive driving which might suggest that he was trying to catch and stop the Complainant. In the final analysis, I am therefore, satisfied on reasonable grounds on the record that the actions exercised by the SO fell well within the limits prescribed by the criminal law. Accordingly, there are no grounds for proceeding with charges in this case."
2017,Hamilton Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding the injury which he suffered, that the actions exercised by the SO fell within the limits prescribed by the criminal law, and that there are no grounds for proceeding with charges in this case."
2016,Hamilton Police Service,,Ontario,"As such, I find that the evidence of the SO’s driving does not rise to the level of driving required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the motor vehicle collision caused by CW #1 entering the intersection. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the HTA and the OPSA, but he behaved at all times professionally, prudently and with good common sense. I cannot find any criticism of the SO’s actions and, as such, find that there is absolutely no basis here for the laying of criminal charges."
2017,Toronto Police Service,,Ontario,"On this evidence, it is clear that nothing that any of the police officers said or did provoked the Complainant to jump to her death; on the contrary, it appears from all of the evidence that the Complainant was determined to end her life and no amount of police intervention was going to change her mind. It also appears that as soon as police and paramedics arrived, before they could really say or do anything to dissuade or assist the Complainant, the Complainant decided she needed to immediately run from police in order to thwart their attempts to intercede and to jump to her death before anyone could prevent her from doing so. On this basis, despite the tragic outcome for the Complainant, I am satisfied on reasonable grounds that there is no causal connection between the actions of police and the death of the Complainant and that police acted expeditiously and diligently in their efforts to respond to the 911 call and to attempt to locate the Complainant and prevent her death. As such, I find there is no basis here to establish any reasonable grounds to believe that any criminal offence was committed here and there are no grounds for proceeding with charges in this case."
2017,Halton Regional Police Service,,Ontario,"On this basis, despite the tragic outcome for the Complainant, I am satisfied on reasonable grounds that the actions exercised by the SO, and all of the police officers who attended to attempt to prevent the suicide of the Complainant, fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,,Ontario,"Although it is quite possible that the punches to the Complainant’s face were the cause of his fractured nose, and that SO #1 falling on top of the Complainant with his full weight may have caused the non-displaced fractures of the Complainant’s ninth and tenth ribs, I cannot find that their actions in these circumstances, even if they caused the injuries, were an excessive use of force. On the facts before me, where both police officers had information that the Complainant may have ingested a lethal dose of a drug, there was clearly some urgency to get him subdued and to a hospital where he could receive treatment as soon as possible. It is clear that initially both police officers made every effort to get the Complainant the help he needed through encouragement and reason, with the hopes that he would voluntarily go to hospital. When that failed and the Complainant ran off, I find that SO #1 and SO #2 were fully justified in using force to apprehend the Complainant not only to protect themselves from the Complainant, but to protect the Complainant himself. I find that the actions of both police officers progressed in a measured and proportionate fashion to meet and overcome the Complainant’s resistance and combative behaviour, and fell within the range of what was reasonably necessary in the circumstances to affect his lawful apprehension. While I do not discount the possibility that the Complainant may have been injured when he jumped from his balcony,footnote 3[3] even if his injuries were caused by the efforts of the officers to subdue the Complainant, I cannot find that to have been an excessive use of force. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Peel Regional Police,,Ontario,"On this record, I find that the evidence of the SO’s driving does not rise to the level required to constitute “a marked departure from the norm” and, as indicated earlier, there is no evidence to support a causal connection between the actions of the SO and the motor vehicle collision caused by the Nissan. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the Highway Traffic Act and the Ontario Police Services Act, but he behaved at all times professionally, prudently and with good common sense. As such, I find that there is absolutely no basis here for the laying of criminal charges."
